Folder consists of 22 ODF files from 2020 Bedford Basin Compass Station occupations.

"FILE","START_DATE_TIME"
"D20667001.ODF",2020-01-09 13:36:50
"D20667002.ODF",2020-01-15 13:53:10
"D20667003.ODF",2020-01-22 13:17:00
"D20667004.ODF",2020-01-29 13:12:01
"D20667005.ODF",2020-02-05 13:10:28
"D20667006.ODF",2020-02-12 15:18:09
"D20667007.ODF",2020-02-19 13:21:15
"D20667008.ODF",2020-02-25 13:31:49
"D20667009.ODF",2020-03-04 13:07:07
"D20667010.ODF",2020-03-10 12:15:13
"D20667011.ODF",2020-03-16 12:18:44
"D20667012.ODF",2020-09-29 11:33:28
"D20667013.ODF",2020-10-22 12:00:14
"D20667014.ODF",2020-10-29 12:19:49
"D20667015.ODF",2020-11-04 13:14:01
"D20667016.ODF",2020-11-10 13:22:37
"D20667017.ODF",2020-11-18 13:06:25
"D20667018.ODF",2020-11-25 13:29:47
"D20667019.ODF",2020-12-02 14:39:44
"D20667020.ODF",2020-12-09 13:10:47
"D20667021.ODF",2020-12-16 13:49:16
"D20667022.ODF",2020-12-22 13:11:09
