Folder consists of 34 ODF files from 2022 Bedford Basin Compass Station occupations.

"FILE","START_DATE_TIME"
"D22667001.ODF",2022-01-07 12:14:27
"D22667002.ODF",2022-01-12 14:48:12
"D22667003.ODF",2022-01-26 12:38:05
"D22667004.ODF",2022-02-02 12:52:21
"D22667005.ODF",2022-02-10 12:51:38
"D22667006.ODF",2022-02-16 13:02:44
"D22667007.ODF",2022-02-22 13:15:08
"D22667008.ODF",2022-03-01 12:54:12
"D22667009.ODF",2022-03-09 13:32:01
"D22667010.ODF",2022-03-16 12:11:41
"D22667011.ODF",2022-03-31 11:34:36
"D22667012.ODF",2022-04-07 11:40:12
"D22667013.ODF",2022-04-12 11:49:33
"D22667014.ODF",2022-04-20 12:18:46
"D22667015.ODF",2022-04-27 11:59:01
"D22667016.ODF",2022-05-04 11:38:01
"D22667017.ODF",2022-05-09 11:49:28
"D22667018.ODF",2022-05-18 11:37:29
"D22667019.ODF",2022-05-25 11:47:45
"D22667020.ODF",2022-06-01 12:04:36
"D22667021.ODF",2022-06-08 11:45:06
"D22667022.ODF",2022-06-15 11:46:53
"D22667023.ODF",2022-06-22 12:23:19
"D22667024.ODF",2022-06-29 11:58:47
"D22667025.ODF",2022-07-07 11:49:31
"D22667026.ODF",2022-07-13 12:21:46
"D22667027.ODF",2022-07-20 11:42:00
"D22667028.ODF",2022-07-27 12:03:56
"D22667029.ODF",2022-08-03 12:01:43
"D22667030.ODF",2022-08-11 12:14:18
"D22667031.ODF",2022-08-18 11:47:48
"D22667032.ODF",2022-08-24 11:43:57
"D22667033.ODF",2022-08-31 12:28:39
"D22667034.ODF",2022-09-07 12:04:41
